Metric,avg,min,max,p99,p95,p90,p75,p50,p25,p10,p5,p1
Time To First Token (ms),"431,985.03","2,164.77","566,359.61","563,000.60","537,073.39","522,514.11","498,969.28","481,128.24","461,009.38","166,966.55","135,217.74","34,174.81"
Time To Second Token (ms),"2,270.50",11.96,"10,450.58","10,359.15","8,195.01","6,160.87","4,108.95","2,052.99",24.40,20.84,19.76,13.49
Request Latency (ms),"588,422.70","32,328.58","1,537,382.37","1,099,653.92","1,065,419.52","1,017,823.84","609,577.98","572,961.47","556,513.82","267,800.72","246,831.16","113,411.95"
Inter Token Latency (ms),52.17,10.06,359.26,199.52,193.96,183.76,31.31,30.26,29.16,28.28,27.72,26.46
Output Token Throughput Per User (tokens/sec/user),29.47,2.78,99.44,37.79,36.08,35.36,34.29,33.04,31.94,5.44,5.16,5.01
Output Sequence Length (tokens),"2,999.88","2,996.00","3,003.00","3,001.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","2,999.00","2,997.00"
Input Sequence Length (tokens),"30,000.05","29,999.00","30,001.00","30,001.00","30,001.00","30,000.00","30,000.00","30,000.00","30,000.00","30,000.00","30,000.00","29,999.00"

Metric,Value
Output Token Throughput (tokens/sec),181.83
Request Throughput (per sec),0.06
Request Count (count),"1,000.00"
