Metric,avg,min,max,p99,p95,p90,p75,p50,p25,p10,p5,p1
Time To First Token (ms),"477,631.59","3,663.73","563,848.26","552,965.81","548,433.45","547,348.58","545,880.70","544,124.71","514,401.12","184,177.67","183,433.86","125,963.34"
Time To Second Token (ms),"1,036.79",0.30,"1,751.54","1,746.24","1,742.66","1,739.87","1,733.75","1,532.60",40.98,17.28,17.04,16.36
Request Latency (ms),"535,252.81","59,999.54","622,560.15","611,051.16","605,987.65","604,555.56","603,471.52","601,830.02","576,544.21","241,422.65","240,370.69","182,540.78"
Inter Token Latency (ms),19.76,9.14,34.16,30.20,23.30,20.58,19.57,19.25,18.98,18.89,18.84,18.46
Output Token Throughput Per User (tokens/sec/user),50.99,29.28,109.39,54.18,53.07,52.93,52.68,51.94,51.09,48.58,42.93,33.11
Output Sequence Length (tokens),"2,935.06","1,682.00","3,005.00","2,998.01","2,997.00","2,997.00","2,996.00","2,994.00","2,988.00","2,884.20","2,538.65","1,921.94"
Input Sequence Length (tokens),"30,000.05","29,999.00","30,001.00","30,001.00","30,001.00","30,000.00","30,000.00","30,000.00","30,000.00","30,000.00","30,000.00","29,999.00"

Metric,Value
Output Token Throughput (tokens/sec),195.50
Request Throughput (per sec),0.07
Request Count (count),"1,000.00"
