Metric,avg,min,max,p99,p95,p90,p75,p50,p25,p10,p5,p1
Time To First Token (ms),"513,887.10","2,422.44","637,389.67","614,685.08","601,158.30","591,149.34","587,307.43","583,514.37","553,480.06","197,375.98","195,941.28","133,486.06"
Time To Second Token (ms),443.97,18.73,667.06,508.70,506.83,505.22,496.23,451.87,405.64,379.79,378.33,27.24
Request Latency (ms),"577,873.89","65,077.69","702,558.46","680,792.81","666,369.02","657,609.11","650,520.65","646,486.51","621,285.57","260,482.25","259,283.69","196,656.63"
Inter Token Latency (ms),21.34,10.69,33.95,28.14,26.61,21.73,21.40,21.03,20.67,20.29,20.09,19.93
Output Token Throughput Per User (tokens/sec/user),47.11,29.46,93.55,50.17,49.76,49.29,48.38,47.55,46.73,46.02,37.57,35.54
Output Sequence Length (tokens),"2,999.84","2,993.00","3,010.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","2,999.00","2,999.00","2,998.00"
Input Sequence Length (tokens),"30,000.05","29,999.00","30,001.00","30,001.00","30,001.00","30,000.00","30,000.00","30,000.00","30,000.00","30,000.00","30,000.00","29,999.00"

Metric,Value
Output Token Throughput (tokens/sec),185.19
Request Throughput (per sec),0.06
Request Count (count),"1,000.00"
