Metric,avg,min,max,p99,p95,p90,p75,p50,p25,p10,p5,p1
Time To First Token (ms),"1,626,233.50","3,694.24","1,906,230.12","1,905,336.93","1,901,121.54","1,896,620.86","1,891,629.83","1,882,936.86","1,621,650.23","548,314.48","541,570.94","532,458.86"
Time To Second Token (ms),473.85,82.12,652.82,517.87,516.48,514.77,511.78,471.05,463.84,423.01,420.80,407.90
Request Latency (ms),"1,894,033.13","267,402.51","2,177,782.53","2,174,554.73","2,169,595.09","2,166,483.59","2,159,574.62","2,149,668.85","1,890,021.72","816,404.59","808,182.80","798,040.56"
Inter Token Latency (ms),89.35,86.15,110.66,92.73,91.40,90.82,89.96,89.20,88.57,88.06,87.64,86.89
Output Token Throughput Per User (tokens/sec/user),11.19,9.04,11.61,11.51,11.41,11.36,11.29,11.21,11.12,11.01,10.94,10.78
Output Sequence Length (tokens),"2,998.42","2,417.00","3,008.00","3,001.00","3,000.00","3,000.00","3,000.00","3,000.00","3,000.00","2,999.00","2,998.00","2,997.00"
Input Sequence Length (tokens),"30,000.05","29,999.00","30,001.00","30,001.00","30,001.00","30,000.00","30,000.00","30,000.00","30,000.00","30,000.00","30,000.00","29,999.00"

Metric,Value
Output Token Throughput (tokens/sec),56.43
Request Throughput (per sec),0.02
Request Count (count),"1,000.00"
